2025-12-05 15:00:30 | INFO     | __main__ | __main__:<module>:5 - Début du training...
2025-12-05 15:00:30 | WARNING  | __main__ | __main__:<module>:6 - Attention, dataset incomplet.
2025-12-05 15:00:30 | ERROR    | __main__ | __main__:<module>:7 - Erreur critique !
2025-12-05 15:15:57 | INFO     | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader:load_csv:53 - Chargement du dataset CSV : /Users/surelmanda/Downloads/ml-projects/health_lifestyle_diabetes/data/input/diabetes_health_indicators.csv
2025-12-05 15:16:07 | INFO     | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader:load_csv:53 - Chargement du dataset CSV : /Users/surelmanda/Downloads/ml-projects/health_lifestyle_diabetes/data/input/diabetes_health_indicators.csv
2025-12-05 15:17:56 | INFO     | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader:load_csv:53 - Chargement du dataset CSV : /Users/surelmanda/Downloads/ml-projects/health_lifestyle_diabetes/data/input/diabetes_health_indicators.csv
2025-12-05 15:17:57 | INFO     | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader:load_csv:55 - Dataset chargé avec 97297 lignes et 31 colonnes.
2025-12-05 15:21:31 | INFO     | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader:load_csv:53 - Chargement du dataset CSV : /Users/surelmanda/Downloads/ml-projects/health_lifestyle_diabetes/data/input/diabetes_health_indicators.csv
2025-12-05 15:21:31 | INFO     | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader:load_csv:55 - Dataset chargé avec 97297 lignes et 31 colonnes.
2025-12-05 15:25:14 | ERROR    | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader:load_csv:59 - Erreur lors du chargement du CSV 'data/input/diabetes_health_indicators.csv' : 'str' object has no attribute 'exists'
2025-12-05 15:25:36 | INFO     | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader:load_csv:53 - Chargement du dataset CSV : /Users/surelmanda/Downloads/ml-projects/health_lifestyle_diabetes/data/input/diabetes_health_indicators.csv
2025-12-05 15:25:37 | INFO     | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader | health_lifestyle_diabetes.infrastructure.data_sources.csv_loader:load_csv:55 - Dataset chargé avec 97297 lignes et 31 colonnes.
